Slade Cross,39, Bachelors,(881) 752-1962, Never-married, Adm-clerical, White, Male,MK05444224124333242,Norway
Aurora Sparks,38, Some-college,(144) 553-8878, Married-civ-spouse, Transport-moving, Black, Male,BE94782657636766,China
Keefe Howell,23, HS-grad,(383) 934-2832, Married-civ-spouse, Transport-moving, White, Male,LB57347594029243082528478747,United Kingdom
Barclay Nieves,32, Some-college,(924) 567-2113, Married-civ-spouse, ?, White, Male,IE92WRRL26433741827530,China
Joelle O'donnell,44, Assoc-acdm,1-712-239-5880, Never-married, Farming-fishing, White, Male,BG31BVHF91632628473179,Russian Federation
Ryan Wolfe,54, HS-grad,1-854-888-5555, Married-civ-spouse, Transport-moving, Black, Male,FO6467143821382443,Russian Federation
Leonard Bernard,32, Bachelors,(662) 683-4080, Married-civ-spouse, Prof-specialty, White, Male,LV75BXPY4232962468517,Peru
Sebastian Hernandez,50, 1st-4th,(634) 750-6996, Married-spouse-absent, Craft-repair, White, Male,DK5830179518987187,South Africa
Jamalia Calhoun,24, Bachelors,(782) 823-9277, Never-married, Tech-support, White, Female,SM5930460155482865484105644,Turkey
Chaney Chapman,37, HS-grad,(272) 595-9215, Married-civ-spouse, Adm-clerical, White, Female,IL336578122480175870654,United Kingdom
Fuller Beach,52, HS-grad,(891) 642-9479, Divorced, Transport-moving, White, Male,CR4666774474557722243,Russian Federation
Peter Miller,38, Some-college,1-184-273-4863, Married-civ-spouse, Transport-moving, White, Male,CH7252715891382543976,Chile
Kenneth Benjamin,49, Masters,(416) 621-5747, Married-civ-spouse, Exec-managerial, White, Male,LV03RTQW3816919748144,Turkey
Rahim Cortez,30, Bachelors,(525) 482-7595, Married-civ-spouse, Tech-support, White, Female,IL917739387352678209782,Canada
Camden Montgomery,60, Some-college,1-583-591-8464, Never-married, Prof-specialty, White, Male,DE41137243598153678133,Mexico
Leroy Rutledge,22, Some-college,(895) 256-4822, Never-married, ?, White, Male,KW2752670547772631136229523973,Nigeria
Quinn Livingston,35, HS-grad,(915) 884-5837, Never-married, Craft-repair, White, Male,BA562142580247330060,Costa Rica
Bruce Hewitt,30, HS-grad,(847) 201-3669, Never-married, Transport-moving, White, Male,MR7982610166136030256035508,Chile
Melvin Navarro,67, Assoc-voc,(372) 852-6863, Divorced, Other-service, White, Female,LU164416683227404351,United Kingdom
Fulton Gonzales,46, Bachelors,1-435-627-5822, Never-married, Craft-repair, White, Female,RO27TYUL1465245554135846,Singapore
Isadora George,17, 9th,1-851-955-1725, Never-married, Other-service, White, Male,ME47845205410576352615,Ireland
Griffin Horton,22, Some-college,(722) 313-1582, Never-married, Handlers-cleaners, White, Male,ME61166296796937034815,France
Cheryl Ross,27, 10th,(463) 856-9733, Never-married, Other-service, White, Male,AE447653776223672454731,Austria
Melanie Terry,23, HS-grad,(165) 664-2258, Never-married, Other-service, White, Female,AD2425158486370257432796,France
Jocelyn Owens,33, Assoc-acdm,1-233-343-9532, Married-civ-spouse, Craft-repair, White, Male,CH5368331527910436564,United States
Dora Jimenez,43, Some-college,1-220-418-2745, Married-civ-spouse, Craft-repair, White, Male,CZ4064379375180257126853,Chile
Noelle Erickson,28, Bachelors,(537) 427-7148, Never-married, Prof-specialty, White, Male,TN9064077053532758204381,Singapore
Shad Kane,41, HS-grad,1-892-420-5773, Married-spouse-absent, Craft-repair, White, Female,MU1636848862628025721166765817,Singapore
Howard Espinoza,52, 12th,(267) 965-4351, Never-married, ?, Black, Male,CR4034381430733633679,Belgium
Illana Barton,25, Some-college,1-486-328-7528, Married-spouse-absent, Adm-clerical, Black, Female,MD2094103758729369627154,United States
Erasmus Chang,63, 1st-4th,(337) 183-9623, Married-civ-spouse, ?, White, Male,MC8222056309868043067736434,Mexico
Zephr Maldonado,59, HS-grad,1-103-222-6253, Married-civ-spouse, Transport-moving, White, Male,RO16PDUH5041248985638414,Netherlands
Noah Abbott,45, Bachelors,(618) 273-7028, Divorced, Prof-specialty, White, Female,RS89108532795277554830,Poland
Louis Knapp,38, Bachelors,1-527-486-5219, Married-civ-spouse, Sales, White, Male,CZ3004176818159704224112,Colombia
Adrian Richmond,40, HS-grad,(728) 228-8849, Never-married, Other-service, White, Female,FR7114488684626231673452652,France
Solomon Gonzalez,46, HS-grad,(821) 986-0149, Divorced, Adm-clerical, White, Male,IS674523705044720500618554,Russian Federation
Sonia Payne,35, Assoc-acdm,(213) 375-7370, Never-married, Exec-managerial, White, Female,HU53081562243743143497664628,New Zealand
Chester Webb,34, HS-grad,1-356-310-4122, Divorced, Prof-specialty, White, Female,GB08ACNH74930571567379,Ukraine
Prescott Woods,33, Bachelors,1-585-261-6916, Never-married, Craft-repair, White, Male,PT53783278512226351818702,Pakistan
Stella Vance,41, HS-grad,(510) 623-3013, Divorced, Adm-clerical, White, Female,ME16475746872017421116,New Zealand
Jelani Palmer,20, Some-college,(484) 235-3680, Never-married, Machine-op-inspct, White, Male,PL97578617676576295065513976,Mexico
Renee Barron,23, 5th-6th,1-273-442-5543, Never-married, Other-service, White, Male,NO5573176927284,Germany
Erich Heath,26, Some-college,(576) 865-3111, Never-married, Prof-specialty, White, Female,CZ9117616686539645459230,Costa Rica
Thor Roberson,72, HS-grad,1-864-892-5649, Married-civ-spouse, ?, White, Male,AE396552758458160221458,Canada
